bill_id,people_id,position
1901839,20098,85
1901839,20100,1
1901839,20108,86
1901839,20114,41
1901839,20120,52
1901839,21386,71
1901839,21647,53
1901839,21922,50
1901839,21927,103
1901839,21928,9
1901839,21929,98
1901839,21934,5
1901839,21938,37
1901839,21939,69
1901839,21940,92
1901839,21941,47
1901839,21950,56
1901839,21959,2
1901839,21961,3
1901839,21963,65
1901839,21965,8
1901839,21966,7
1901839,21967,90
1901839,21969,91
1901839,21970,14
1901839,21971,25
1901839,21972,64
1901839,21974,35
1901839,22947,26
1901839,23162,4
1901839,24000,10
1901839,24001,23
1901839,24003,61
1901839,24006,17
1901839,24016,39
1901839,24023,44
1901839,24025,18
1901839,24026,12
1901839,24034,109
1901839,24035,49
1901839,24036,62
1901839,24037,95
1901839,24038,51
1901839,24039,58
1901839,24043,78
1901839,24045,66
1901839,24050,42
1901839,24055,11
1901839,24058,75
1901839,24062,15
1901839,25894,67
1901839,25895,94
1901839,25896,99
1901839,25898,87
1901839,25899,72
1901839,25900,60
1901839,25903,97
1901839,25906,81
1901839,25909,82
1901839,25910,102
1901839,25912,63
1901839,25916,105
1901839,25920,40
1901839,25921,84
1901839,25923,70
1901839,26460,111
1901839,26461,110
1901840,9037,4
1901840,9095,16
1901840,9121,8
1901840,9138,6
1901840,9175,3
1901840,9234,14
1901840,9307,2
1901840,9324,5
1901840,11137,7
1901840,11201,10
1901840,14090,12
1901840,15051,45
1901840,15208,22
1901840,16037,1
1901840,16454,41
1901840,16488,18
1901840,16824,47
1901840,17717,9
1901840,18304,21
1901840,18309,40
1901840,18326,20
1901840,18331,13
1901840,18333,24
1901840,18335,23
1901840,19370,11
1901840,19409,33
1901840,19692,15
1901840,20064,46
1901840,20075,44
1901840,20084,17
1901840,20107,42
1901840,21386,19
1901840,21938,28
1901840,21950,25
1901840,21961,29
1901840,21972,27
1901840,21973,26
1901840,22967,30
1901840,23162,36
1901840,23182,31
1901840,23998,34
1901840,24023,37
1901840,24038,38
1901840,24048,32
1901840,24050,35
1901840,24053,43
1901840,25899,39
1901841,11132,1
1901842,18291,1
1901843,11054,3
1901843,18291,1
1901843,24006,2
1901844,18291,1
1901844,20047,3
1901844,20120,5
1901844,21927,4
1901844,24055,2
1901845,18291,1
1901846,18304,1
1901847,18291,1
1901847,20049,2
1901847,24000,3
1901847,24006,4
1901848,20110,2
1901848,21961,1
1901849,18335,1
1901850,21927,1
1901851,16824,3
1901851,24015,1
1901851,25885,2
1901852,17717,1
1901853,9175,19
1901853,9192,3
1901853,9200,25
1901853,9337,18
1901853,11099,27
1901853,11129,6
1901853,14922,29
1901853,15051,36
1901853,18286,10
1901853,18291,9
1901853,18310,5
1901853,18321,2
1901853,18335,13
1901853,19664,37
1901853,20047,8
1901853,20049,4
1901853,20064,35
1901853,20065,30
1901853,20066,38
1901853,20098,24
1901853,20100,1
1901853,21938,17
1901853,21969,15
1901853,21972,22
1901853,22947,20
1901853,23162,7
1901853,24006,12
1901853,24023,11
1901853,24025,21
1901853,24031,26
1901853,24038,32
1901853,24039,23
1901853,24045,31
1901853,24048,16
1901853,24062,14
1901853,25897,28
1901853,25898,34
1901853,25906,39
1901853,25922,33
1901854,16824,3
1901854,24015,1
1901854,25885,2
1901855,9389,1
