bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1901812,3092722,text,237296,application/pdf,Introduced,https://legiscan.com/US/text/HB67/id/3092722,https://www.congress.gov/119/bills/hr67/BILLS-119hr67ih.pdf
1901961,3097395,text,245635,application/pdf,Introduced,https://legiscan.com/US/text/HB68/id/3097395,https://www.congress.gov/119/bills/hr68/BILLS-119hr68ih.pdf
1901913,3090229,text,230991,application/pdf,Introduced,https://legiscan.com/US/text/HB69/id/3090229,https://www.congress.gov/119/bills/hr69/BILLS-119hr69ih.pdf
1901844,3089589,text,230696,application/pdf,Introduced,https://legiscan.com/US/text/HB70/id/3089589,https://www.congress.gov/119/bills/hr70/BILLS-119hr70ih.pdf
1901933,3094264,text,241824,application/pdf,Introduced,https://legiscan.com/US/text/HB71/id/3094264,https://www.congress.gov/119/bills/hr71/BILLS-119hr71ih.pdf
1901843,3092956,text,231135,application/pdf,Introduced,https://legiscan.com/US/text/HB72/id/3092956,https://www.congress.gov/119/bills/hr72/BILLS-119hr72ih.pdf
1901891,3092863,text,230937,application/pdf,Introduced,https://legiscan.com/US/text/HB73/id/3092863,https://www.congress.gov/119/bills/hr73/BILLS-119hr73ih.pdf
1901810,3092871,text,235964,application/pdf,Introduced,https://legiscan.com/US/text/HB74/id/3092871,https://www.congress.gov/119/bills/hr74/BILLS-119hr74ih.pdf
1901874,3093045,text,232591,application/pdf,Introduced,https://legiscan.com/US/text/HB75/id/3093045,https://www.congress.gov/119/bills/hr75/BILLS-119hr75ih.pdf
1901790,3090394,text,250144,application/pdf,Introduced,https://legiscan.com/US/text/HB76/id/3090394,https://www.congress.gov/119/bills/hr76/BILLS-119hr76ih.pdf
1901951,3091068,text,250926,application/pdf,Introduced,https://legiscan.com/US/text/HB77/id/3091068,https://www.congress.gov/119/bills/hr77/BILLS-119hr77ih.pdf
1901951,3120673,text,110784,application/pdf,Engrossed,https://legiscan.com/US/text/HB77/id/3120673,https://www.congress.gov/119/bills/hr77/BILLS-119hr77eh.pdf
1901932,3090216,text,234506,application/pdf,Introduced,https://legiscan.com/US/text/HB78/id/3090216,https://www.congress.gov/119/bills/hr78/BILLS-119hr78ih.pdf
1901754,3090235,text,232066,application/pdf,Introduced,https://legiscan.com/US/text/HB79/id/3090235,https://www.congress.gov/119/bills/hr79/BILLS-119hr79ih.pdf
1901817,3090179,text,233071,application/pdf,Introduced,https://legiscan.com/US/text/HB80/id/3090179,https://www.congress.gov/119/bills/hr80/BILLS-119hr80ih.pdf
1901775,3090220,text,231118,application/pdf,Introduced,https://legiscan.com/US/text/HB81/id/3090220,https://www.congress.gov/119/bills/hr81/BILLS-119hr81ih.pdf
1901744,3090236,text,230340,application/pdf,Introduced,https://legiscan.com/US/text/HB82/id/3090236,https://www.congress.gov/119/bills/hr82/BILLS-119hr82ih.pdf
1901761,3091943,text,237317,application/pdf,Introduced,https://legiscan.com/US/text/HB83/id/3091943,https://www.congress.gov/119/bills/hr83/BILLS-119hr83ih.pdf
1901766,3090146,text,254271,application/pdf,Introduced,https://legiscan.com/US/text/HB84/id/3090146,https://www.congress.gov/119/bills/hr84/BILLS-119hr84ih.pdf
1901856,3090230,text,230582,application/pdf,Introduced,https://legiscan.com/US/text/HB85/id/3090230,https://www.congress.gov/119/bills/hr85/BILLS-119hr85ih.pdf
1901845,3090203,text,230093,application/pdf,Introduced,https://legiscan.com/US/text/HB86/id/3090203,https://www.congress.gov/119/bills/hr86/BILLS-119hr86ih.pdf
1901886,3092755,text,233633,application/pdf,Introduced,https://legiscan.com/US/text/HB87/id/3092755,https://www.congress.gov/119/bills/hr87/BILLS-119hr87ih.pdf
1901801,3092895,text,230596,application/pdf,Introduced,https://legiscan.com/US/text/HB88/id/3092895,https://www.congress.gov/119/bills/hr88/BILLS-119hr88ih.pdf
1901902,3092913,text,231713,application/pdf,Introduced,https://legiscan.com/US/text/HB89/id/3092913,https://www.congress.gov/119/bills/hr89/BILLS-119hr89ih.pdf
1901767,3092955,text,230683,application/pdf,Introduced,https://legiscan.com/US/text/HB90/id/3092955,https://www.congress.gov/119/bills/hr90/BILLS-119hr90ih.pdf
1901935,3092923,text,238951,application/pdf,Introduced,https://legiscan.com/US/text/HB91/id/3092923,https://www.congress.gov/119/bills/hr91/BILLS-119hr91ih.pdf
1901813,3092957,text,232055,application/pdf,Introduced,https://legiscan.com/US/text/HB92/id/3092957,https://www.congress.gov/119/bills/hr92/BILLS-119hr92ih.pdf
1901937,3094944,text,230287,application/pdf,Introduced,https://legiscan.com/US/text/HB93/id/3094944,https://www.congress.gov/119/bills/hr93/BILLS-119hr93ih.pdf
1901785,3092948,text,231729,application/pdf,Introduced,https://legiscan.com/US/text/HB94/id/3092948,https://www.congress.gov/119/bills/hr94/BILLS-119hr94ih.pdf
1901829,3092971,text,233002,application/pdf,Introduced,https://legiscan.com/US/text/HB95/id/3092971,https://www.congress.gov/119/bills/hr95/BILLS-119hr95ih.pdf
1901898,3093000,text,231077,application/pdf,Introduced,https://legiscan.com/US/text/HB96/id/3093000,https://www.congress.gov/119/bills/hr96/BILLS-119hr96ih.pdf
1901821,3094955,text,230869,application/pdf,Introduced,https://legiscan.com/US/text/HB97/id/3094955,https://www.congress.gov/119/bills/hr97/BILLS-119hr97ih.pdf
1901781,3093030,text,233059,application/pdf,Introduced,https://legiscan.com/US/text/HB98/id/3093030,https://www.congress.gov/119/bills/hr98/BILLS-119hr98ih.pdf
1901972,3099356,text,230778,application/pdf,Introduced,https://legiscan.com/US/text/HB99/id/3099356,https://www.congress.gov/119/bills/hr99/BILLS-119hr99ih.pdf
1901777,3093370,text,230537,application/pdf,Introduced,https://legiscan.com/US/text/HB100/id/3093370,https://www.congress.gov/119/bills/hr100/BILLS-119hr100ih.pdf
1901888,3092961,text,239599,application/pdf,Introduced,https://legiscan.com/US/text/HB101/id/3092961,https://www.congress.gov/119/bills/hr101/BILLS-119hr101ih.pdf
1901938,3092975,text,232081,application/pdf,Introduced,https://legiscan.com/US/text/HB102/id/3092975,https://www.congress.gov/119/bills/hr102/BILLS-119hr102ih.pdf
1901859,3092977,text,230796,application/pdf,Introduced,https://legiscan.com/US/text/HB103/id/3092977,https://www.congress.gov/119/bills/hr103/BILLS-119hr103ih.pdf
